onset	duration	response_time	answer	type
31578	3000	1570	1	 ROOSTER.bmp
38566	4000	1764	0	 SWAN.bmp
46571	4000	2312	0	 HYENA.bmp
54577	3000	1276	1	 RING.bmp
61566	4000	1100	1	 LAMP.bmp
69571	3000	1023	1	 MONKEY.bmp
76576	4000	1103	1	 TRUMPET.bmp
84566	4000	1992	1	 PELICAN.bmp
92571	4000	1007	1	 TIGER.bmp
100576	3000	1210	0	 SKIRT.bmp
107566	4000	1508	1	 SKULL.bmp
115570	3000	1232	1	 SNAKE.bmp
122575	3000	1360	1	 PIANO.bmp
129580	3000	974	1	 HAMMER.bmp
136568	3000	1039	1	 TIE.bmp
143573	4000	1197	1	 SHOE.bmp
151579	4000	1277	1	 NOSE.bmp
159568	4000	1790	1	 PICTURE.bmp
167574	3000	1356	1	 TRACTOR.bmp
174579	3000	1460	1	 LADDER.bmp
181567	4000	1534	1	 SQUIRREL.bmp
189573	3000	2693	1	 HARMONIC.bmp
196578	4000	2156	0	 OSTRICH.bmp
204567	3000	1306	1	 PAINTBRU.bmp
211572	4000	1827	1	 WHIP.bmp
219577	4000	1386	1	 ski.bmp
227566	4000	1048	1	 HAT.bmp
235572	4000	1333	1	 RABBIT.bmp
243578	3000	rien	0	 WATERING.bmp
250566	3000	1235	1	 ZEBRA.bmp
257571	3000	1730	1	 NAILFILE.bmp
264576	4000	1791	1	 RULER.bmp
272566	3000	1705	1	 SPIDER.bmp
279570	3000	1987	1	 PALMTREE.bmp
286575	4000	1156	1	 MICROSCO.bmp
294580	3000	1166	1	 PIPE.bmp
301568	3000	1281	1	 WINDOW.bmp
308573	4000	1174	1	 VASE.bmp
316579	4000	1640	1	 SCREW.bmp
324568	3000	1455	1	 PEAR.bmp
331573	3000	992	1	 UMBRELLA.bmp
338578	3000	1562	1	 SYRINGE.bmp
345566	4000	1462	1	 NAIL.bmp
353572	3000	1075	1	 LION.bmp
360577	3000	1023	1	 GLASS.bmp
367566	4000	1631	1	 SAW.bmp
375571	4000	1995	0	 PLIERS.bmp
383576	3000	1544	1	 LIGHTBUL.bmp
390566	3000	1801	1	 STOOL.bmp
397570	4000	1271	1	 MOUNTAIN.bmp
405575	3000	1297	0	 RAT.bmp
412580	3000	1564	1	 SHIRT.bmp
419569	3000	1563	1	 SOCK.bmp
426574	3000	1380	1	 Scale.bmp
433578	3000	1611	1	 SNAIL.bmp
440567	3000	2272	1	 PLUG.bmp
447572	3000	1165	1	 MOON.bmp
454577	4000	1138	1	 KNIFE.bmp
462566	4000	1416	1	 ROCKET.bmp
470571	4000	1179	1	 WHEEL.bmp
478577	4000	3063	0	 LADYBUG.bmp
486566	3000	1202	1	 PANTS.bmp
493571	4000	1857	1	 HARP.bmp
501577	4000	2810	0	 WEATHERV.bmp
509566	4000	1630	1	 CIGARETT.bmp
517571	3000	1239	1	 MOTORCYC.bmp
524576	4000	1312	1	 LOCK.bmp
532566	4000	1269	1	 TELEPHON.bmp
540571	4000	1739	1	 POT.bmp
548576	4000	1175	1	 WOLF.bmp
556566	3000	1810	1	 WELL.bmp
563570	3000	1187	1	 NECKLACE.bmp
570575	3000	1901	1	 LEG.bmp
577580	4000	1487	1	 PEACOCK.bmp